"","Chisq","Df","Pr(>Chisq)"
"treatment",38.8063561700381,3,1.90759424566747e-08
"species",1225.5846675447,3,2.06127784504568e-265
"treatment:species",41.1363978151341,9,4.72396604855713e-06
