"","Sum Sq","Df","F value","Pr(>F)"
"treatment_factor",10.2145867965585,3,3.26299307543099,0.0215492734024245
"species",41.710348217374,3,13.3241393037026,2.82926346141689e-08
"treatment_factor:species",17.323333320396,9,1.84461423627629,0.0591437968850946
"Residuals",383.999991647448,368,NA,NA
