"","Sum Sq","Df","F value","Pr(>F)"
"treatment",4.6042925114412,1,4.51173899534619,0.0343151843294497
"species",41.1022480741514,3,13.4253427623416,2.42771563901241e-08
"treatment:species",8.92343646684151,3,2.91468712293296,0.0342414107365638
"Residuals",383.713239193939,376,NA,NA
