"","species","emmean","SE","df","z.ratio","p.value"
"1","BG",0.869921232144831,0.367525719452437,Inf,2.36696695251939,0.0179345341644401
"2","BM",1.70101151501351,0.468554750032359,Inf,3.63033672136721,0.000283051716845563
"3","LB",-0.284811079240565,0.344242890935491,Inf,-0.827355006421722,0.40803587480505
"4","SG",1.36599849898586,0.411331533612635,Inf,3.32091849848853,0.000897217335681424
